Europe, Val D'Isere FR,,,333019
Europe, Verbier/Val de Bagnes SW,,,13034
Europe, Zermatt SW,,,13026
#----------------------------------------------------
Australia & New Zealand, Coronet Peak NZ,,,4424660
Australia & New Zealand, Mt Hutt NZ,,,811002
Australia & New Zealand, The Remarkables NZ,,,615013
Australia & New Zealand, Treble Cone NZ,,,4437443
Australia & New Zealand, Perisher Ski AUS,,,549488
Australia & New Zealand, Thredbo Alpine AUS,,,100001
